AV instant,AV mean
0.41774046666666664,7.599999999996498e-05
7.673333333334161e-05,7.63666666666533e-05
5.2866666666654774e-05,6.853333333332046e-05
7.04000000000112e-05,6.899999999999314e-05
5.9000000000016444e-05,6.69999999999978e-05
7.053333333330395e-05,6.758888888888215e-05
7.626666666666892e-05,6.882857142856599e-05
8.226666666667862e-05,7.050833333333006e-05
6.459999999997024e-05,6.985185185184563e-05
6.460000000002945e-05,6.932666666666402e-05
8.786666666669163e-05,7.101212121212107e-05
4.699999999999704e-05,6.901111111111074e-05
8.199999999997468e-05,7.001025641025412e-05
6.446666666667747e-05,6.961428571428436e-05
8.19333333332987e-05,7.043555555555199e-05
4.6866666666704285e-05,6.8962499999999e-05
7.606666666664097e-05,6.938039215686029e-05
0.0001112,7.606666666666667e-05
6.433333333333333e-05,7.02e-05
7.033333333333333e-05,7.024444444444444e-05
7.026666666666665e-05,7.025e-05
7.600000000000003e-05,7.14e-05
8.766666666666668e-05,7.411111111111111e-05
6.426666666666664e-05,7.270476190476191e-05
7.626666666666673e-05,7.315e-05
6.99333333333333e-05,7.27925925925926e-05
5.81333333333333e-05,7.132666666666667e-05
7.026666666666662e-05,7.123030303030303e-05
7.600000000000003e-05,7.162777777777778e-05
5.84e-05,7.061025641025641e-05
7.020000000000001e-05,7.058095238095239e-05
8.193333333333328e-05,7.133777777777777e-05
8.159999999999996e-05,7.197916666666666e-05
7.013333333333339e-05,7.187058823529412e-05
7.013333333333339e-05,7.177407407407407e-05
8.206666666666662e-05,7.231578947368421e-05
5.833333333333339e-05,7.161666666666667e-05
7.013333333333339e-05,7.154603174603176e-05
6.44666666666666e-05,7.122424242424243e-05
6.993333333333342e-05,7.116811594202899e-05
7.633333333333312e-05,7.138333333333332e-05
6.960000000000021e-05,7.131200000000001e-05
7.699999999999999e-05,7.153076923076924e-05
7.559999999999997e-05,7.168148148148148e-05
7.033333333333335e-05,7.163333333333333e-05
6.993333333333342e-05,7.157471264367816e-05
5.859999999999986e-05,7.114222222222222e-05
7.579999999999995e-05,7.129247311827957e-05
8.800000000000012e-05,7.181458333333334e-05
5.846666666666639e-05,7.141010101010101e-05
7.633333333333335e-05,7.155490196078431e-05
7.080000000000003e-05,7.153333333333333e-05
8.133333333333325e-05,7.180555555555555e-05
7.646666666666681e-05,7.193153153153153e-05
5.886666666666679e-05,7.158771929824562e-05
7.140000000000016e-05,7.158290598290599e-05
9.119999999999961e-05,7.207333333333333e-05
5.946666666666693e-05,7.176585365853659e-05
6.953333333333302e-05,7.171269841269841e-05
7.14666666666669e-05,7.170697674418604e-05
8.153333333333346e-05,7.193030303030304e-05
7.559999999999974e-05,7.201185185185185e-05
6.573333333333339e-05,7.187536231884058e-05
6.546666666666691e-05,7.173900709219859e-05
8.733333333333324e-05,7.206388888888889e-05
6.973333333333322e-05,7.201632653061225e-05
7.07333333333333e-05,7.199066666666666e-05
6.946666666666675e-05,7.194117647058823e-05
7.693333333333349e-05,7.203717948717949e-05
8.039999999999992e-05,7.219496855345912e-05
